Year of Case,Employer Name,Address,Street,City,State,Zip Code,Wages Owed,Number of Claimants on Case,USDOL?
2020,Joe Joe Pizzeria,"739 Henderson Ave, Staten Island, NY, 10310",739 Henderson Ave,Staten Island,NY,10310,"$81,678.00",1,NO
2020,Seaflower Fish Market Inc.,"4127 Broadway, New York, NY, 10032",4127 Broadway,New York,NY,10032,"$80,266.00",1,NO
2020,Chos Grocery,"58 Carmine Street, New York, NY, 10014",58 Carmine Street,New York,NY,10014,"$80,000.00",1,NO
2020,Manhattan Oral Facial Surgery LLC,"6118 Riverdale Ave, Bronx, NY, 10471",6118 Riverdale Ave,Bronx,NY,10471,"$80,000.00",1,YES
2021,Great Wall Laundry & Cleaning Inc,"200 West 14rh Street, New York, NY, 10011",200 West 14rh Street,New York,NY,10011,"$79,956.00",1,NO
2021,Fine Fare Supermarket,"320 E. Gun HIll Road, Bronx, NY, 10467",320 E. Gun HIll Road,Bronx,NY,10467,"$79,890.00",,NO
2023,150 Water Gourmet Inc. T/A The Best of New York F..,"150 Water Street, New York, NY, 10005",150 Water Street,New York,NY,10005,"$79,460.00",,NO
2021,L and D Drywall Services,"48-18 66th street, Woodside, NY, 11377",48-18 66th street,Woodside,NY,11377,"$78,686.00",18,NO
2021,Dipak Contracting Co,"355 79th Street, Brooklyn, NY, 11209",355 79th Street,Brooklyn,NY,11209,"$78,048.00",,NO
2022,Maddy's Home Furniture & More,"601 W. 207th Street, New York, NY, 10034",601 W. 207th Street,New York,NY,10034,"$77,425.00",,NO
2023,FM Laundromat,"2558 18th Street, Astoria, NY, 11102",2558 18th Street,Astoria,NY,11102,"$77,265.00",,NO
2020,Kapamilya Restaurant and Bakeshop,"69-10 Roosevelt Ave, Woodside, NY, 11377",69-10 Roosevelt Ave,Woodside,NY,11377,"$76,593.00",2,NO
2021,Jose Vallejo Construction Inc,"61-20 166th Street, Fresh Meadows, NY, 11365",61-20 166th Street,Fresh Meadows,NY,11365,"$76,063.00",2,NO
2022,Allen Health Care Services,"70-00 Austin St, Forest Hills, NY, 11375",70-00 Austin St,Forest Hills,NY,11375,"$74,150.00",3,NO
2023,Desi Deli Indian Kitchen,"724 Tenth Ave, New York, NY, 10019",724 Tenth Ave,New York,NY,10019,"$74,070.00",1,NO
2022,Warique Peruvian Cuisine,"90-04 37th Avenue, Jackson Heights, NY, 11372",90-04 37th Avenue,Jackson Heights,NY,11372,"$73,728.00",,NO
